NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0003682 CHROMATIN BINDING	GO:0003682 CHROMATIN BINDING		80	0.5124333	2.057591	0.0	0.015441964	0.014	1020	tags=43%, list=19%, signal=52%	
GO:0006338 CHROMATIN REMODELING	GO:0006338 CHROMATIN REMODELING		45	0.5444014	1.9600065	0.0	0.04043861	0.071	1557	tags=60%, list=29%, signal=84%	
GO:0031122 CYTOPLASMIC MICROTUBULE ORGANIZATION	GO:0031122 CYTOPLASMIC MICROTUBULE ORGANIZATION		15	0.6805659	1.9387715	0.0016920473	0.037041098	0.097	983	tags=53%, list=19%, signal=65%	
GO:0007165 SIGNAL TRANSDUCTION	GO:0007165 SIGNAL TRANSDUCTION		74	0.47990003	1.9153259	0.0	0.038699165	0.133	1623	tags=51%, list=31%, signal=73%	
GO:0008582 REGULATION OF SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION	GO:0008582 REGULATION OF SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION		31	0.5511237	1.890059	0.0016233766	0.04629037	0.189	1397	tags=58%, list=26%, signal=78%	
GO:0005643 NUCLEAR PORE	GO:0005643 NUCLEAR PORE		25	0.5931988	1.8867514	0.0	0.041509822	0.2	1167	tags=56%, list=22%, signal=72%	
GO:0019905 SYNTAXIN BINDING	GO:0019905 SYNTAXIN BINDING		21	0.6241272	1.8743079	0.0	0.04104875	0.229	1077	tags=48%, list=20%, signal=60%	
GO:0017056 STRUCTURAL CONSTITUENT OF NUCLEAR PORE	GO:0017056 STRUCTURAL CONSTITUENT OF NUCLEAR PORE		19	0.63050735	1.8646884	0.0016129032	0.041139934	0.257	1214	tags=63%, list=23%, signal=82%	
GO:0042393 HISTONE BINDING	GO:0042393 HISTONE BINDING		41	0.5220867	1.8593484	0.0	0.03888022	0.269	1619	tags=51%, list=31%, signal=73%	
GO:0005705 POLYTENE CHROMOSOME INTERBAND	GO:0005705 POLYTENE CHROMOSOME INTERBAND		30	0.555331	1.8549516	0.0	0.03618754	0.278	1554	tags=63%, list=29%, signal=89%	
GO:0043235 RECEPTOR COMPLEX	GO:0043235 RECEPTOR COMPLEX		15	0.66409916	1.8482603	0.0017064846	0.035772372	0.296	1205	tags=67%, list=23%, signal=86%	
GO:0090630 ACTIVATION OF GTPASE ACTIVITY	GO:0090630 ACTIVATION OF GTPASE ACTIVITY		27	0.5632562	1.8444092	0.0	0.034165435	0.308	966	tags=52%, list=18%, signal=63%	
GO:0050808 SYNAPSE ORGANIZATION	GO:0050808 SYNAPSE ORGANIZATION		40	0.52102375	1.8431259	0.0	0.032122653	0.312	1329	tags=55%, list=25%, signal=73%	
GO:0007349 CELLULARIZATION	GO:0007349 CELLULARIZATION		27	0.5560847	1.8258893	0.0016155089	0.03750526	0.374	571	tags=41%, list=11%, signal=45%	
GO:0007274 NEUROMUSCULAR SYNAPTIC TRANSMISSION	GO:0007274 NEUROMUSCULAR SYNAPTIC TRANSMISSION		43	0.50424004	1.8218116	0.0015037594	0.03711189	0.39	623	tags=33%, list=12%, signal=37%	
GO:0006468 PROTEIN PHOSPHORYLATION	GO:0006468 PROTEIN PHOSPHORYLATION		114	0.41094887	1.7745994	0.0	0.057094686	0.569	1316	tags=43%, list=25%, signal=56%	
GO:0000922 SPINDLE POLE	GO:0000922 SPINDLE POLE		15	0.62849885	1.764827	0.0049261083	0.060102258	0.613	1494	tags=60%, list=28%, signal=83%	
GO:0005096 GTPASE ACTIVATOR ACTIVITY	GO:0005096 GTPASE ACTIVATOR ACTIVITY		61	0.46022937	1.7570498	0.0	0.062107876	0.643	789	tags=38%, list=15%, signal=44%	
GO:0061630 UBIQUITIN PROTEIN LIGASE ACTIVITY	GO:0061630 UBIQUITIN PROTEIN LIGASE ACTIVITY		63	0.45274013	1.7496077	0.0028694405	0.063624814	0.676	1795	tags=51%, list=34%, signal=76%	
GO:0006355 REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	GO:0006355 REGULATION OF TRANSCRIPTION, DNA-TEMPLATED		89	0.42617148	1.7385038	0.0	0.0670523	0.705	1392	tags=42%, list=26%, signal=55%	
GO:0004842 UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY	GO:0004842 UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY		41	0.47935686	1.7265232	0.0031298904	0.07212358	0.756	892	tags=32%, list=17%, signal=38%	
GO:0006367 TRANSCRIPTION INITIATION FROM RNA POLYMERASE II PROMOTER	GO:0006367 TRANSCRIPTION INITIATION FROM RNA POLYMERASE II PROMOTER		25	0.53855723	1.7196056	0.0031545742	0.07315698	0.779	1647	tags=52%, list=31%, signal=75%	
GO:0042391 REGULATION OF MEMBRANE POTENTIAL	GO:0042391 REGULATION OF MEMBRANE POTENTIAL		26	0.5291852	1.7135905	0.009933775	0.07443432	0.795	1623	tags=54%, list=31%, signal=77%	
GO:0006357 REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II	GO:0006357 REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II		166	0.38022286	1.70978	0.0	0.07466547	0.807	1587	tags=46%, list=30%, signal=63%	
GO:0043005 NEURON PROJECTION	GO:0043005 NEURON PROJECTION		62	0.44306138	1.7040082	0.0060790274	0.07571062	0.823	1377	tags=42%, list=26%, signal=56%	
GO:0009408 RESPONSE TO HEAT	GO:0009408 RESPONSE TO HEAT		33	0.49696532	1.6927226	0.0033057851	0.08113092	0.861	1399	tags=52%, list=26%, signal=70%	
GO:0007528 NEUROMUSCULAR JUNCTION DEVELOPMENT	GO:0007528 NEUROMUSCULAR JUNCTION DEVELOPMENT		37	0.48252025	1.687705	0.0015698588	0.08299734	0.872	2072	tags=54%, list=39%, signal=88%	
GO:0009267 CELLULAR RESPONSE TO STARVATION	GO:0009267 CELLULAR RESPONSE TO STARVATION		40	0.4661669	1.6825223	0.0031007752	0.08479328	0.885	1256	tags=45%, list=24%, signal=59%	
GO:0005819 SPINDLE	GO:0005819 SPINDLE		20	0.5545055	1.6768274	0.010016695	0.087402485	0.905	890	tags=50%, list=17%, signal=60%	
GO:0006887 EXOCYTOSIS	GO:0006887 EXOCYTOSIS		29	0.5025443	1.662029	0.011217949	0.09660039	0.939	803	tags=31%, list=15%, signal=36%	
GO:0072659 PROTEIN LOCALIZATION TO PLASMA MEMBRANE	GO:0072659 PROTEIN LOCALIZATION TO PLASMA MEMBRANE		28	0.50042415	1.6609492	0.012461059	0.094226524	0.94	1268	tags=57%, list=24%, signal=75%	
GO:0005763 MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT	GO:0005763 MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT		27	0.50310135	1.6423124	0.011551155	0.107913695	0.964	1744	tags=56%, list=33%, signal=83%	
GO:0007169 TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY	GO:0007169 TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY		18	0.55448216	1.640413	0.014925373	0.10712581	0.968	1166	tags=50%, list=22%, signal=64%	
GO:0097352 AUTOPHAGOSOME MATURATION	GO:0097352 AUTOPHAGOSOME MATURATION		15	0.5866999	1.639119	0.010416667	0.105072975	0.97	1184	tags=40%, list=22%, signal=51%	
GO:0008049 MALE COURTSHIP BEHAVIOR	GO:0008049 MALE COURTSHIP BEHAVIOR		21	0.54113704	1.6376172	0.013179571	0.10356779	0.972	1411	tags=52%, list=27%, signal=71%	
GO:0031201 SNARE COMPLEX	GO:0031201 SNARE COMPLEX		29	0.48734695	1.6374725	0.01244168	0.1007833	0.972	963	tags=31%, list=18%, signal=38%	
GO:0034613 CELLULAR PROTEIN LOCALIZATION	GO:0034613 CELLULAR PROTEIN LOCALIZATION		17	0.56339836	1.6267765	0.008445946	0.10713141	0.977	346	tags=29%, list=7%, signal=31%	
GO:0043565 SEQUENCE-SPECIFIC DNA BINDING	GO:0043565 SEQUENCE-SPECIFIC DNA BINDING		36	0.4668769	1.6222228	0.011006289	0.10905277	0.979	1758	tags=56%, list=33%, signal=83%	
GO:0072686 MITOTIC SPINDLE	GO:0072686 MITOTIC SPINDLE		16	0.5739524	1.621777	0.020066889	0.10653985	0.979	1488	tags=56%, list=28%, signal=78%	
GO:0006890 RETROGRADE VESICLE-MEDIATED TRANSPORT, GOLGI TO ENDOPLASMIC RETICULUM	GO:0006890 RETROGRADE VESICLE-MEDIATED TRANSPORT, GOLGI TO ENDOPLASMIC RETICULUM		21	0.5174189	1.618741	0.019736841	0.10669417	0.98	1244	tags=48%, list=24%, signal=62%	
GO:0007465 R7 CELL FATE COMMITMENT	GO:0007465 R7 CELL FATE COMMITMENT		18	0.5516838	1.6184732	0.024752475	0.104335845	0.98	636	tags=39%, list=12%, signal=44%	
GO:0007417 CENTRAL NERVOUS SYSTEM DEVELOPMENT	GO:0007417 CENTRAL NERVOUS SYSTEM DEVELOPMENT		33	0.4692847	1.6127608	0.009677419	0.107094124	0.983	1132	tags=39%, list=21%, signal=50%	
GO:0048010 VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY	GO:0048010 VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY		23	0.51273036	1.6017941	0.01904762	0.11471752	0.989	1255	tags=43%, list=24%, signal=57%	
GO:0048786 PRESYNAPTIC ACTIVE ZONE	GO:0048786 PRESYNAPTIC ACTIVE ZONE		23	0.5202975	1.6015154	0.025316456	0.11235927	0.989	1082	tags=48%, list=20%, signal=60%	
GO:0030594 NEUROTRANSMITTER RECEPTOR ACTIVITY	GO:0030594 NEUROTRANSMITTER RECEPTOR ACTIVITY		19	0.53499717	1.5976952	0.026101142	0.11426607	0.991	1206	tags=42%, list=23%, signal=54%	
GO:0007269 NEUROTRANSMITTER SECRETION	GO:0007269 NEUROTRANSMITTER SECRETION		61	0.40920502	1.5915467	0.005934718	0.117724635	0.992	967	tags=33%, list=18%, signal=40%	
